periodo,tasa_real_expost,tipmn_nom,ipc,tasa_bcrp,tipo_cambio,embig_riesgo,liquidez_m2
Jul.2018,0.6444990127002601,2.2606,89.7832456102935,2.75,3.27722380952381,150.954545454545,190384.77519047
Ago.2018,1.1910245733972622,2.2616,89.9015505324364,2.75,3.28871904761905,149.260869565217,192957.29256157
Sep.2018,1.0060189906404706,2.2863,90.0738752726222,2.75,3.31181,139.9,193052.5490081
Oct.2018,0.49720615569156656,2.3381,90.1474507938922,2.75,3.33476818181818,142.695652173913,193787.1218886
Nov.2018,0.1859025359894413,2.353,90.2578255325897,2.75,3.37565,156.863636363636,197561.81042896
Dic.2018,0.1668768461318022,2.3594,90.4218937443323,2.75,3.36438421052632,164.809523809524,203589.18559941
Ene.2019,0.29534214948584836,2.4245,90.4809684380851,2.75,3.34381363636364,152.391304347826,203336.26316985
Feb.2019,0.4670151449976898,2.4704,90.595663429072,2.75,3.3216,139.5,202959.53838262
Mar.2019,0.1709594015196343,2.4184,91.2547942250017,2.75,3.30431904761905,135.666666666667,204963.11443983
Abr.2019,-0.11434472909832571,2.4783,91.4373773077339,2.75,3.303405,122.363636363636,203230.38726196
May.2019,-0.24122754617206787,2.4839,91.5723515157514,2.75,3.33350454545455,135.695652173913,204344.6075451
Jun.2019,0.19751946032944012,2.4923,91.493350335306,2.75,3.325475,129.15,204791.36121697
Jul.2019,0.35358671993565194,2.4655,91.6793898976101,2.75,3.29040476190476,116.130434782609,209608.99578673
Ago.2019,0.36707660615465043,2.4068,91.7352934900762,2.5,3.37871,127.090909090909,212515.43390091
Sep.2019,0.4692930627623908,2.3203,91.7411489525572,2.5,3.35719047619048,116.428571428571,211325.44038695
Oct.2019,0.40173773643074817,2.2823,91.8427297350918,2.5,3.36007619047619,126.913043478261,213148.9722517
Nov.2019,0.3992030512887643,2.266,91.9427558656052,2.25,3.372715,126.761904761905,217980.97619599
Dic.2019,0.29510842083753364,2.1952,92.1399925330876,2.25,3.3547380952381,115.909090909091,222036.18253434
Ene.2020,0.26874394770932586,2.1571,92.1895712817569,2.25,3.32776363636364,113.869565217391,227547.64079974
Feb.2020,0.236262238860812,2.1403,92.3206390707161,2.25,3.39138,122.2,227972.03308043
Mar.2020,0.27786703056158935,2.0994,92.9170303880033,1.25,3.49255454545455,248.909090909091,231591.78971623
Abr.2020,0.22721024344500784,1.9517,93.0142055130683,0.25,3.39842,277.954545454545,242421.86970286
May.2020,-0.0396197522910946,1.7423,93.204097335048,0.25,3.42185,222.35,267592.58110182
Jun.2020,-0.10603239164687328,1.4927,92.9560841633195,0.25,3.47109523809524,180.136363636364,274871.70584071
Jul.2020,-0.5568957242677979,1.3048,93.3861811793687,0.25,3.51734090909091,169.347826086957,287657.3884784
Ago.2020,-0.4879982418665889,1.1994,93.2832332195989,0.25,3.56454761904762,145.636363636364,289910.87030155
Sep.2020,-0.668253907056326,1.1513,93.4104286127018,0.25,3.55575909090909,160.409090909091,290207.527205
Oct.2020,-0.6175003611365129,1.1065,93.4260987274024,0.25,3.59613636363636,150.181818181818,291443.97353667
Nov.2020,-1.0819096943048085,1.0603,93.9123624949692,0.25,3.60871904761905,147.0,293143.83996513
Dic.2020,-0.9632322294607307,1.01,93.9581285619732,0.25,3.60324285714286,143.304347826087,305702.19982496
Ene.2021,-1.722945383509137,0.9526,94.6561451002628,0.25,3.62495,131.619047619048,307419.26299981
Feb.2021,-1.4874422122209028,0.9139,94.5375735473133,0.25,3.64569,138.1,307142.155066
Mar.2021,-1.7062852332411569,0.8919,95.3311869507106,0.25,3.70917826086957,165.086956521739,305587.85784501
Abr.2021,-1.4922977236302737,0.8914,95.2313830125361,0.25,3.699525,164.5,295767.43911597
May.2021,-1.5851590256086339,0.8623,95.4852294275117,0.25,3.77475714285714,163.571428571429,290939.58170511
Jun.2021,-2.43560667105264,0.819,95.9814390796482,0.25,3.91160476190476,169.227272727273,291870.84002574
Jul.2021,-3.028099065162638,0.7865,96.948489573628,0.25,3.942455,170.0,302497.90545195
Ago.2021,-4.189604596480375,0.7632,97.9033694822447,0.5,4.08725238095238,183.0,300167.7991951
Sep.2021,-4.449274554229522,0.7803,98.2953966184284,1.0,4.10805454545454,174.0,297665.62107748
Oct.2021,-5.006309926476172,0.8197,98.8691125131803,1.5,4.01368,171.619047619048,291476.11937561
Nov.2021,-4.737447846623176,0.9177,99.2232454403164,2.0,4.02049523809524,179.363636363636,289275.34584353
Dic.2021,-5.3971871634072475,1.0332,100.0,2.5,4.03686818181818,174.304347826087,293482.79355155
Ene.2022,-4.5633165936742275,1.1216,100.037268,3.0,3.88834285714286,176.761904761905,290139.8836515
Feb.2022,-4.838844222346509,1.3082,100.34884,3.5,3.790945,197.75,285817.69303332
Mar.2022,-5.3572890073601345,1.4668,101.836672,4.0,3.73862173913043,200.739130434783,284792.74524273
Abr.2022,-6.390952772569147,1.5737,102.816232,4.5,3.74100526315789,186.666666666667,281294.70551259
May.2022,-6.2392389319679324,1.8519,103.211072,5.0,3.75727727272727,217.545454545455,279557.49906568
Jun.2022,-6.730332943888964,2.0823,104.439931,5.5,3.74843809523809,213.545454545455,278840.24389636
Jul.2022,-6.451134915160068,2.2897,105.422597,6.0,3.90343684210526,235.428571428571,287363.89333111
Ago.2022,-5.925388303401949,2.4726,106.125283,6.5,3.87355909090909,211.0,290002.31366301
Sep.2022,-5.917552536349282,2.6123,106.679849,6.75,3.89895909090909,225.273454545455,295831.4960857
Oct.2022,-5.520994627370608,2.7542,107.050724,7.0,3.97934761904762,242.587095238095,292817.61735555
Nov.2022,-5.521529802340228,2.9257,107.604861,7.25,3.87657619047619,203.406909090909,288445.39617944
Dic.2022,-5.48856200000001,2.9706,108.459162,7.5,3.828975,195.5,294681.92939414
Ene.2023,-5.497167000974068,3.1671,108.704764,7.75,3.83380476190476,207.045454545455,296594.92527463
Feb.2023,-5.326323560252423,3.3196,109.024924,7.75,3.84146,192.3,293472.62852338
Mar.2023,-4.9624740093313395,3.4381,110.391537,7.75,3.77916086956522,203.826086956522,290325.2049135
Abr.2023,-4.381345830506612,3.5837,111.005592,7.75,3.76545,201.9,285295.47277182
May.2023,-4.17838564823743,3.7155,111.358436,7.75,3.68866818181818,197.391304347826,284980.89691456
Jun.2023,-2.7017969919886355,3.7597,111.188314,7.75,3.65041904761905,181.090909090909,285160.15178922
Jul.2023,-2.015801455900376,3.8658,111.623134,7.75,3.601255,168.904761904762,290956.28947337
Ago.2023,-1.6716472033012182,3.9045,112.042985,7.75,3.69776818181818,167.227272727273,290521.6124739
Sep.2023,-1.0815459479418585,3.963,112.061363,7.5,3.73099523809524,169.095238095238,290677.90748628
Oct.2023,-0.44118132283158795,3.9019,111.700024,7.25,3.84575909090909,179.954545454545,290183.26323174
Nov.2023,0.10822487830450722,3.7447,111.517885,7.0,3.76079523809524,175.181818181818,293352.90056198
Dic.2023,0.311017435675935,3.5484,111.9704,6.75,3.73394210526316,162.428571428571,302237.05940572
Ene.2024,0.4276782517314457,3.4516,111.991911,6.5,3.74074285714286,170.434782608696,302559.06707648
Feb.2024,0.04423303967816006,3.3383,112.616278,6.25,3.8279380952381,160.285714285714,301723.20209681
Mar.2024,0.1997540740609396,3.2448,113.75301,6.25,3.70898947368421,152.666666666667,302285.81117138
Abr.2024,0.7356238220719549,3.1577,113.694232,6.0,3.71503181818182,153.772727272727,300436.02556459
May.2024,1.0418616404131171,3.0468,113.591104,5.75,3.73172727272727,155.826086956522,307307.01321256
Jun.2024,0.6619177430120886,2.9473,113.729392,5.75,3.7867052631579,160.9,318850.27126668
Jul.2024,0.6575362130291098,2.7852,113.998099,5.75,3.764135,158.695652173913,326131.68772824
Ago.2024,0.610702996961396,2.6448,114.322048,5.5,3.74185,169.5,332608.90363454
Sep.2024,0.8302894640314205,2.6053,114.050464,5.25,3.7689619047619,162.578947368421,334036.69855636
Oct.2024,0.5518195901551426,2.561,113.944279,5.25,3.75436363636364,153.68,337894.69501884
Nov.2024,0.2517092785116848,2.5237,114.051561,5.0,3.779135,155.263157894737,336801.52351663
Dic.2024,0.45369729857176466,2.42,114.172077,5.0,3.73553684210526,154.380952380952,344028.26259912
Ene.2025,0.5071171655933266,2.3587,114.065534,4.75,3.74692272727273,156.761904761905,342729.06038258
Feb.2025,0.873370941051693,2.3507,114.279991,4.75,3.69685,158.25,340710.20723183
Mar.2025,1.0654197302207677,2.3426,115.205841,4.75,3.65248571428571,163.354838709677,339138.68201438
Abr.2025,0.6344659825979684,2.2863,115.572272,4.75,3.70003,177.571428571429,334153.82934124
May.2025,0.5804371078073194,2.2671,115.507003,4.5,3.65991428571429,158.58064516129,344519.01481653
Jun.2025,0.5799909542328443,2.2737,115.655637,4.5,3.60219523809524,153.833333333333,340255.79743764
Jul.2025,0.47279903148559654,2.1616,115.9233,4.5,3.556945,140.612903225806,350198.51386562
Ago.2025,1.0284692246800806,2.1348,115.586828,4.5,3.542385,133.322580645161,350189.56875089
Sep.2025,0.7799065786457575,2.1383,115.599718,4.25,3.50180454545455,124.107142857143,350518.55232705
Oct.2025,0.7682252434981889,2.12,115.484549,4.25,3.41322727272727,123.516129032258,353785.25244379
Nov.2025,0.73068743011155,2.0993,115.612485,4.25,3.37263,125.6,364391.37201986
Dic.2025,0.46830026081332754,1.9771,115.894705,4.25,3.36686315789474,127.0,383367.07528122
